"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","24202","三重県","四日市市","住吉町","川越富洲原",12,14000000,"３ＬＤＫ",70,"1991年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","諏訪町","近鉄四日市",9,40000000,"２ＬＤＫ",95,"2008年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","諏訪町","近鉄四日市",10,16000000,"１ＬＤＫ",55,"2008年","ＳＲＣ","","","商業","","","2025年第1四半期","改装済み",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","三ツ谷町","阿倉川",5,7700000,"３ＬＤＫ",95,"2002年","ＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","久保田","近鉄四日市",13,45000000,"４ＬＤＫ",90,"2022年","","","","２種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","久保田","近鉄四日市",13,36000000,"３ＬＤＫ",70,"2022年","ＲＣ","","","２種住居","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","新正","近鉄四日市",16,13000000,"３ＬＤＫ",80,"1990年","ＳＲＣ","","","近隣商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","北浜田町","近鉄四日市",10,7300000,"３ＬＤＫ",70,"1990年","ＲＣ","","","近隣商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","幸町","近鉄四日市",10,32000000,"２ＬＤＫ",80,"2017年","ＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","幸町","四日市",6,35000000,"３ＬＤＫ",80,"2017年","ＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","幸町","四日市",6,34000000,"３ＬＤＫ",80,"2017年","ＲＣ","","","商業","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","下之宮町","近鉄富田",16,13000000,"３ＬＤＫ",70,"1990年","ＳＲＣ","","","準住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","24202","三重県","四日市市","城北町","近鉄四日市",10,13000000,"２ＬＤＫ",70,"1995年","ＳＲＣ","","","２種住居","","","2025年第3四半期","",""
